Symbol,Name,결산월,회계년,주기,asset,conm,regist_num,year
A005930,삼성전자,12,2017,Annual,301752090000 ,삼성전자(주),124-81-00998,2017
A005930,삼성전자,12,2018,Annual,339357244000 ,삼성전자(주),124-81-00998,2018
A005930,삼성전자,12,2019,Annual,352564497000 ,삼성전자(주),124-81-00998,2019
A005930,삼성전자,12,2020,Annual,,삼성전자(주),124-81-00998,2020
A005930,삼성전자,12,2021,Annual,,삼성전자(주),124-81-00998,2021
A000660,SK하이닉스,12,2017,Annual,45418464000 ,에스케이하이닉스(주),126-81-03725,2017
A000660,SK하이닉스,12,2018,Annual,63658335000 ,에스케이하이닉스(주),126-81-03725,2018
A000660,SK하이닉스,12,2019,Annual,64789494000 ,에스케이하이닉스(주),126-81-03725,2019
A000660,SK하이닉스,12,2020,Annual,,에스케이하이닉스(주),126-81-03725,2020
A000660,SK하이닉스,12,2021,Annual,,에스케이하이닉스(주),126-81-03725,2021
A051910,LG화학,12,2017,Annual,25041221000 ,(주)엘지화학,107-81-98139,2017
A051910,LG화학,12,2018,Annual,28944137000 ,(주)엘지화학,107-81-98139,2018
A051910,LG화학,12,2019,Annual,34024426000 ,(주)엘지화학,107-81-98139,2019
A051910,LG화학,12,2020,Annual,,(주)엘지화학,107-81-98139,2020
A051910,LG화학,12,2021,Annual,,(주)엘지화학,107-81-98139,2021
A035420,NAVER,12,2017,Annual,8019251560 ,네이버(주),220-81-62517,2017
A035420,NAVER,12,2018,Annual,9881190909 ,네이버(주),220-81-62517,2018
A035420,NAVER,12,2019,Annual,12299527121 ,네이버(주),220-81-62517,2019
A035420,NAVER,12,2020,Annual,,네이버(주),220-81-62517,2020
A035420,NAVER,12,2021,Annual,,네이버(주),220-81-62517,2021
A207940,삼성바이오로직스,12,2017,Annual,7183091163 ,삼성바이오로직스(주),131-86-27632,2017
A207940,삼성바이오로직스,12,2018,Annual,5980408648 ,삼성바이오로직스(주),131-86-27632,2018
A207940,삼성바이오로직스,12,2019,Annual,5911626512 ,삼성바이오로직스(주),131-86-27632,2019
A207940,삼성바이오로직스,12,2020,Annual,,삼성바이오로직스(주),131-86-27632,2020
A207940,삼성바이오로직스,12,2021,Annual,,삼성바이오로직스(주),131-86-27632,2021
