year,conm,직명코드,직명,name_ts,name,regist_num,birthdate
2017,(주)BNK금융지주,751,사외이사(감사위원),김영재,김영재,605-86-05385,195711
2017,(주)BNK금융지주,751,사외이사(감사위원),정기영,정기영,605-86-05385,196007
2017,(주)BNK금융지주,721,사외이사,손광익,손광익,605-86-05385,195409
2017,(주)BNK금융지주,751,사외이사(감사위원),유정준,유정준,605-86-05385,195104
2017,(주)BNK금융지주,751,사외이사(감사위원),문일재,문일재,605-86-05385,195511
2017,(주)BNK금융지주,751,사외이사(감사위원),차용규,차용규,605-86-05385,194910
2017,(주)BNK금융지주,751,사외이사(감사위원),정기영,정기영,605-86-05385,194809
2017,(주)BNK금융지주,751,사외이사(감사위원),윤인태,윤인태,605-86-05385,195602
2018,(주)BNK금융지주,721,사외이사,손광익,손광익,605-86-05385,195409
2018,(주)BNK금융지주,751,사외이사(감사위원),유정준,유정준,605-86-05385,195104
2018,(주)BNK금융지주,751,사외이사(감사위원),정기영,정기영,605-86-05385,194809
2018,(주)BNK금융지주,751,사외이사(감사위원),허진호,허진호,605-86-05385,194503
2018,(주)BNK금융지주,751,사외이사(감사위원),문일재,문일재,605-86-05385,195511
2018,(주)BNK금융지주,721,사외이사,김영재,김영재,605-86-05385,196007
2018,(주)BNK금융지주,721,사외이사,차용규,차용규,605-86-05385,194910
2019,(주)BNK금융지주,721,사외이사,김창록,김창록,605-86-05385,194911
2019,(주)BNK금융지주,751,사외이사(감사위원),허진호,허진호,605-86-05385,194503
2019,(주)BNK금융지주,721,사외이사,손광익,손광익,605-86-05385,195409
2019,(주)BNK금융지주,751,사외이사(감사위원),유정준,유정준,605-86-05385,195104
2019,(주)BNK금융지주,751,사외이사(감사위원),정기영,정기영,605-86-05385,194809
2019,(주)BNK금융지주,721,사외이사,김영재,김영재,605-86-05385,196007
2019,(주)BNK금융지주,751,사외이사(감사위원),문일재,문일재,605-86-05385,195511
2019,(주)BNK금융지주,721,사외이사,차용규,차용규,605-86-05385,194910
2017,(주)CMG제약,721,사외이사,한승철,한승철,134-81-71976,196305
